iter	Passed	Remaining
400	20176	4981
401	20228	4931
402	20277	4880
403	20336	4832
404	20394	4783
405	20445	4733
406	20495	4683
407	20551	4634
408	20606	4584
409	20655	4534
410	20704	4483
411	20756	4433
412	20814	4384
413	20867	4334
414	20917	4284
415	20970	4234
416	21020	4183
417	21069	4133
418	21118	4082
419	21168	4032
420	21221	3982
421	21267	3931
422	21317	3880
423	21366	3829
424	21415	3779
425	21463	3728
426	21512	3677
427	21562	3627
428	21610	3576
429	21660	3526
430	21709	3475
431	21757	3424
432	21805	3374
433	21856	3323
434	21905	3273
435	21954	3222
436	22003	3172
437	22053	3121
438	22103	3071
439	22168	3022
440	22222	2973
441	22277	2923
442	22338	2874
443	22398	2825
444	22450	2774
445	22499	2724
446	22547	2673
447	22597	2622
448	22647	2572
449	22696	2521
450	22747	2471
451	22795	2420
452	22845	2370
453	22894	2319
454	22946	2269
455	22999	2219
456	23047	2168
457	23097	2118
458	23147	2067
459	23196	2017
460	23244	1966
461	23293	1915
462	23344	1865
463	23396	1815
464	23446	1764
465	23494	1714
466	23543	1663
467	23590	1613
468	23642	1562
469	23689	1512
470	23739	1461
471	23786	1411
472	23834	1360
473	23883	1310
474	23936	1259
475	23985	1209
476	24034	1158
477	24085	1108
478	24138	1058
479	24188	1007
480	24237	957
481	24288	907
482	24337	856
483	24387	806
484	24436	755
485	24486	705
486	24536	654
487	24585	604
488	24634	554
489	24684	503
490	24731	453
491	24780	402
492	24829	352
493	24877	302
494	24925	251
495	24974	201
496	25023	151
497	25071	100
498	25117	50
499	25167	0
