iter	Logloss
428	0.5165844893
429	0.5162583142
430	0.5158792334
431	0.5155921368
432	0.515304368
433	0.5149325011
434	0.514606612
435	0.5143056067
436	0.5140133581
437	0.5136366813
438	0.51333521
439	0.5130019731
440	0.5126946837
441	0.5123319308
442	0.512005332
443	0.5116227471
444	0.5113875537
445	0.5109810874
446	0.5106832146
447	0.5103352178
448	0.51002662
449	0.5096887062
450	0.5093667343
451	0.509094734
452	0.5087276157
453	0.5084039691
454	0.5080248979
455	0.5075912039
456	0.5073427202
457	0.5069940881
458	0.5066092424
459	0.5063064458
460	0.5059677344
461	0.5056370707
462	0.5052716076
463	0.5049412438
464	0.504639484
465	0.5043078438
466	0.5039294255
467	0.5036318593
468	0.5033209852
469	0.5030884532
470	0.5027438387
471	0.5024638745
472	0.5021288194
473	0.5018277203
474	0.5014722055
475	0.5011468543
476	0.5007722886
477	0.5003674467
478	0.4999450686
479	0.499592859
480	0.4992464771
481	0.4988644642
482	0.4985253993
483	0.4981912179
484	0.497835641
485	0.4974884076
486	0.4971813791
487	0.4968839117
488	0.496531226
489	0.4961832802
490	0.4958479435
491	0.4955432407
492	0.4952002585
493	0.494905572
494	0.4946076912
495	0.494343563
496	0.4940225599
497	0.4937490799
498	0.4934779378
499	0.4931684918
